year_no,region,seasonal_rain
1986,Brazil,27.494186401367188
1986,Tanzania_Kenya,22.150360107421875
1987,Central_America,23.737467447916668
1987,Venezuela_Colombia,13.95724614461263
1987,India_SriLanka,15.732999165852865
1987,Malaysia_Singapore_Thai,33.982320149739586
1987,Vietnam,31.744873046875
1987,Phil,21.10314687093099
1987,Brazil,17.63758722941081
1987,Tanzania_Kenya,17.020179748535156
1988,Central_America,32.098663330078125
1988,Venezuela_Colombia,18.210145314534504
1988,India_SriLanka,9.222259521484375
1988,Malaysia_Singapore_Thai,31.010116577148438
1988,Vietnam,36.76538340250651
1988,Phil,26.725001017252605
1988,Brazil,25.236668904622395
1988,Tanzania_Kenya,17.087500254313152
1989,Central_America,25.09546661376953
1989,Venezuela_Colombia,13.283189137776693
1989,India_SriLanka,10.974258422851562
1989,Malaysia_Singapore_Thai,24.1495844523112
1989,Vietnam,16.887949625651043
1989,Phil,22.194073994954426
1989,Brazil,28.0574951171875
1989,Tanzania_Kenya,17.864456176757812
1990,Central_America,27.499066670735676
1990,Venezuela_Colombia,15.683624267578125
1990,India_SriLanka,13.547704060872396
